episode,total_reward,avg_wait,avg_loss,epsilon
1,-4.6203,234.9,0.000168,0.998
2,-2.7906,108.55,3.9e-05,0.996
3,-2.8734,104.26,3.1e-05,0.994
4,-3.1266,125.18,2.9e-05,0.992
5,-4.0141,193.52,3e-05,0.99
6,-3.8875,156.76,3.7e-05,0.9881
7,-3.2281,153.93,4e-05,0.9861
8,-3.5578,173.32,5.1e-05,0.9841
9,-2.7875,108.65,6.4e-05,0.9821
10,-3.9672,147.61,6.4e-05,0.9802
11,-2.4047,75.95,6.2e-05,0.9782
12,-2.7641,109.22,7.6e-05,0.9763
13,-2.8297,101.42,8e-05,0.9743
14,-2.5703,102.32,7.5e-05,0.9724
15,-3.1469,119.54,8.8e-05,0.9704
16,-2.8937,102.65,8.8e-05,0.9685
17,-2.9438,108.42,9.8e-05,0.9665
18,-3.1937,145.96,9.4e-05,0.9646
19,-2.9219,103.69,0.0001,0.9627
20,-3.1875,111.97,0.000103,0.9608
21,-3.2344,147.32,0.000108,0.9588
22,-3.5625,150.99,0.000104,0.9569
23,-3.1391,125.27,0.0001,0.955
24,-2.8234,95.33,0.00011,0.9531
25,-2.7078,102.78,0.000128,0.9512
26,-2.8891,106.34,0.000109,0.9493
27,-2.8891,103.87,0.000111,0.9474
28,-3.8047,189.01,0.000109,0.9455
29,-2.525,82.25,9.5e-05,0.9436
30,-2.7094,108.99,0.000117,0.9417
31,-2.7203,95.11,0.000142,0.9398
32,-3.9391,179.49,0.000111,0.9379
33,-3.0531,106.73,0.000127,0.9361
34,-3.6375,152.27,0.000125,0.9342
35,-3.0641,116.19,0.00012,0.9323
36,-2.7641,87.88,0.000134,0.9305
37,-3.1656,143.2,0.000141,0.9286
38,-3.3016,133.78,0.000144,0.9267
39,-2.6047,91.87,0.000148,0.9249
40,-2.6141,97.46,0.000146,0.923
41,-2.8797,97.4,0.000158,0.9212
42,-3.1516,113.88,0.000129,0.9194
43,-3.1688,141.49,0.000126,0.9175
44,-2.7641,99.72,0.000125,0.9157
45,-3.0016,103.52,0.000127,0.9138
46,-2.9766,114.92,0.00013,0.912
47,-2.8719,121.68,0.000152,0.9102
48,-2.7172,96.58,0.000121,0.9084
49,-3.1203,107.11,0.000154,0.9066
50,-3.2047,129.96,0.000133,0.9047
51,-2.8391,112.93,0.000138,0.9029
52,-2.4656,81.65,0.000149,0.9011
53,-3.7437,166.92,0.000137,0.8993
54,-2.5969,75.87,0.000145,0.8975
55,-2.3719,76.52,0.000167,0.8957
56,-3.2578,117.1,0.00014,0.8939
57,-2.6906,90.23,0.000155,0.8922
58,-2.4172,68.87,0.000139,0.8904
59,-2.5828,88.8,0.000146,0.8886
60,-2.6094,89.39,0.000169,0.8868
61,-2.1281,65.19,0.000157,0.885
62,-2.4156,74.44,0.000164,0.8833
63,-2.2812,69.03,0.000159,0.8815
64,-2.6594,81.32,0.000135,0.8797
65,-2.9391,110.81,0.000168,0.878
66,-2.4797,82.64,0.000143,0.8762
67,-2.7594,92.28,0.000129,0.8745
68,-2.8781,97.2,0.000129,0.8727
69,-2.975,107.56,0.00014,0.871
70,-2.6219,100.32,0.000127,0.8692
71,-2.3484,78.82,0.000142,0.8675
72,-2.7266,95.22,0.000133,0.8658
73,-2.7375,88.85,0.000151,0.864
74,-2.9109,93.19,0.000136,0.8623
75,-2.1531,68.33,0.000121,0.8606
76,-2.7609,94.97,0.000122,0.8589
77,-2.7172,91.08,0.000114,0.8571
78,-2.6031,83.08,0.000129,0.8554
79,-2.1516,59.82,0.000126,0.8537
80,-2.4109,70.49,0.000135,0.852
81,-2.7141,90.88,0.000133,0.8503
82,-2.4984,81.13,0.000119,0.8486
83,-2.5109,90.09,0.000121,0.8469
84,-3.0719,96.18,0.000128,0.8452
85,-2.325,68.92,0.000139,0.8435
86,-3.3266,130.27,0.000146,0.8418
87,-3.0906,111.4,0.000143,0.8402
88,-2.6219,92.06,0.00014,0.8385
89,-2.6016,80.77,0.000141,0.8368
90,-2.3734,66.09,0.000115,0.8351
91,-2.7516,97.28,0.000137,0.8334
92,-2.8234,96.08,0.000131,0.8318
93,-2.6828,86.04,0.000142,0.8301
94,-2.5656,85.26,0.00016,0.8285
95,-2.9625,102.66,0.000124,0.8268
96,-2.6297,90.86,0.000144,0.8251
97,-2.4984,75.63,0.00013,0.8235
98,-2.5906,93.89,0.000152,0.8219
99,-2.625,79.21,0.00015,0.8202
100,-2.5797,91.63,0.00015,0.8186
101,-2.8875,90.08,0.000144,0.8169
102,-2.4687,80.14,0.000147,0.8153
103,-3.0453,123.26,0.000159,0.8137
104,-2.3969,74.48,0.000156,0.812
105,-2.5219,80.4,0.000172,0.8104
106,-2.8437,93.19,0.000157,0.8088
107,-2.1203,64.65,0.000169,0.8072
108,-2.7187,81.33,0.000155,0.8056
109,-2.3672,84.45,0.000154,0.8039
110,-2.3984,86.09,0.000175,0.8023
111,-2.3266,83.23,0.000147,0.8007
112,-2.9188,106.74,0.000165,0.7991
113,-2.4344,74.45,0.000161,0.7975
114,-2.6016,83.55,0.000168,0.7959
115,-2.8578,99.96,0.00015,0.7944
116,-2.3172,67.45,0.000153,0.7928
117,-2.2937,75.21,0.000166,0.7912
118,-2.5484,91.53,0.000163,0.7896
119,-2.6047,81.48,0.000135,0.788
120,-2.2172,61.11,0.000152,0.7864
121,-2.2047,63.47,0.000148,0.7849
122,-2.3422,70.42,0.000142,0.7833
123,-2.8453,87.67,0.000157,0.7817
124,-2.3438,70.75,0.000147,0.7802
125,-2.3828,71.16,0.000162,0.7786
126,-2.1594,66.31,0.000144,0.777
127,-2.5828,80.03,0.000139,0.7755
128,-2.5312,80.38,0.000158,0.7739
129,-2.3156,74.97,0.000147,0.7724
130,-2.7953,93.16,0.000128,0.7709
131,-3.1469,109.15,0.000135,0.7693
132,-2.2844,72.5,0.000155,0.7678
133,-2.8297,100.77,0.000159,0.7662
134,-2.6422,86.96,0.000137,0.7647
135,-2.7172,95.89,0.000169,0.7632
136,-2.1906,65.67,0.000139,0.7616
137,-2.5969,79.45,0.000157,0.7601
138,-2.3891,72.67,0.000148,0.7586
139,-2.6844,83.01,0.000175,0.7571
140,-2.2469,65.34,0.000155,0.7556
141,-2.3875,75.6,0.000157,0.7541
142,-2.6562,87.45,0.000144,0.7526
143,-2.3109,75.43,0.000145,0.751
144,-2.7953,97.29,0.000144,0.7495
145,-2.2812,66.71,0.000141,0.748
146,-2.5734,71.64,0.000145,0.7466
147,-2.6547,87.44,0.000158,0.7451
148,-2.3422,72.92,0.000149,0.7436
149,-2.6922,92.46,0.000177,0.7421
150,-2.4828,77.91,0.000173,0.7406
151,-2.3563,81.15,0.000163,0.7391
152,-2.1641,64.19,0.000175,0.7376
153,-2.6453,89.76,0.000161,0.7362
154,-2.0625,55.85,0.000149,0.7347
155,-1.9094,53.77,0.000182,0.7332
156,-2.3109,71.08,0.000164,0.7318
157,-2.1203,57.64,0.000143,0.7303
158,-2.7141,84.01,0.000151,0.7288
159,-2.4906,66.14,0.000152,0.7274
160,-2.6875,97.2,0.000154,0.7259
161,-2.3,87.56,0.000149,0.7245
162,-2.3547,74.5,0.000154,0.723
163,-2.7594,89.99,0.000144,0.7216
164,-2.3547,69.53,0.000166,0.7201
165,-2.4391,77.99,0.000137,0.7187
166,-2.1719,66.79,0.000167,0.7172
167,-2.4375,79.17,0.000181,0.7158
168,-2.2312,61.19,0.000172,0.7144
169,-2.8266,92.21,0.000184,0.713
170,-2.5594,87.99,0.000149,0.7115
171,-2.2016,59.48,0.000154,0.7101
172,-2.5187,77.02,0.000156,0.7087
173,-2.1453,60.75,0.000149,0.7073
174,-2.4141,68.24,0.000152,0.7059
175,-2.0906,57.97,0.000136,0.7044
176,-2.3438,71.12,0.000154,0.703
177,-2.0766,61.29,0.00014,0.7016
178,-2.8984,95.93,0.00016,0.7002
179,-2.4766,79.74,0.000147,0.6988
180,-2.0187,52.2,0.000157,0.6974
181,-2.1891,66.33,0.000144,0.696
182,-2.4891,95.73,0.000169,0.6946
183,-1.9562,49.34,0.000168,0.6932
184,-2.3469,68.32,0.000144,0.6919
185,-2.2188,60.09,0.000158,0.6905
186,-2.8469,90.12,0.000154,0.6891
187,-2.4391,82.58,0.000149,0.6877
188,-2.5156,71.04,0.00015,0.6863
189,-2.2812,68.03,0.00016,0.685
190,-2.9406,112.99,0.000172,0.6836
191,-2.4562,74.58,0.000163,0.6822
192,-2.2391,63.78,0.000171,0.6809
193,-2.2578,69.37,0.00018,0.6795
194,-2.0719,53.4,0.000169,0.6781
195,-2.2234,72.73,0.000169,0.6768
196,-2.5531,72.34,0.000166,0.6754
197,-2.3484,69.99,0.000159,0.6741
198,-2.0141,60.0,0.000183,0.6727
199,-2.2641,63.7,0.000191,0.6714
200,-1.9969,55.83,0.000187,0.6701
201,-2.1937,69.38,0.000166,0.6687
202,-2.0766,56.69,0.000179,0.6674
203,-2.0953,55.89,0.000169,0.666
